Down,Ydstogo,Line,Value
2,99,1,-2.655
3,1,1,-1.98
3,2,1,-2.058
3,3,1,-2.119
3,4,1,-2.172
3,5,1,-2.229
3,6,1,-2.289
3,7,1,-2.353
3,8,1,-2.422
3,9,1,-2.487
3,10,1,-2.546
3,11,1,-2.597
3,12,1,-2.637
3,13,1,-2.672
3,14,1,-2.7
3,15,1,-2.727
3,16,1,-2.75
3,17,1,-2.77
3,18,1,-2.791
3,19,1,-2.803
3,20,1,-2.813
3,21,1,-2.821
3,22,1,-2.828
3,23,1,-2.833
3,24,1,-2.837
3,25,1,-2.84
3,26,1,-2.843
3,27,1,-2.845
3,28,1,-2.846
3,29,1,-2.847
3,30,1,-2.848
3,31,1,-2.849
3,32,1,-2.849
3,33,1,-2.85
3,34,1,-2.851
3,35,1,-2.851
3,36,1,-2.851
3,37,1,-2.851
3,38,1,-2.851
3,39,1,-2.851
3,40,1,-2.852
3,41,1,-2.852
3,42,1,-2.852
3,43,1,-2.852
3,44,1,-2.852
3,45,1,-2.852
3,46,1,-2.852
3,47,1,-2.852
3,48,1,-2.852
3,49,1,-2.852
3,50,1,-2.852
3,51,1,-2.852
3,52,1,-2.852
3,53,1,-2.852
3,54,1,-2.852
3,55,1,-2.852
3,56,1,-2.852
3,57,1,-2.852
3,58,1,-2.852
3,59,1,-2.852
3,60,1,-2.852
3,61,1,-2.852
3,62,1,-2.852
3,63,1,-2.852
3,64,1,-2.852
3,65,1,-2.852
3,66,1,-2.852
3,67,1,-2.852
3,68,1,-2.852
3,69,1,-2.852
3,70,1,-2.852
3,71,1,-2.852
3,72,1,-2.852
3,73,1,-2.852
3,74,1,-2.852
3,75,1,-2.852
3,76,1,-2.852
3,77,1,-2.852
3,78,1,-2.852
3,79,1,-2.852
3,80,1,-2.852
3,81,1,-2.852
3,82,1,-2.852
3,83,1,-2.852
3,84,1,-2.852
3,85,1,-2.852
3,86,1,-2.852
3,87,1,-2.852
3,88,1,-2.852
3,89,1,-2.852
3,90,1,-2.852
3,91,1,-2.852
3,92,1,-2.852
3,93,1,-2.852
3,94,1,-2.852
3,95,1,-2.852
3,96,1,-2.852
3,97,1,-2.852
3,98,1,-2.852
3,99,1,-2.852
4,1,1,-2.742
4,2,1,-2.927
4,3,1,-3.001
4,4,1,-3.009
4,5,1,-3.019
4,6,1,-3.029
4,7,1,-3.037
4,8,1,-3.044
4,9,1,-3.049
4,10,1,-3.052
4,11,1,-3.055
4,12,1,-3.056
