"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"92",212.4185301,207.574195230393,225.3,221.90512648554,225.8916182,235.7135,215.9350693,218.8624813,205.2499,220.22,210,218.2853,218.6963,205.7,213.471506,204,NA
"93",211.3020251,222.609219535317,221.24,227.177166869164,226.0438363,234.8884,234.8780203,221.2229269,217.1791,231.789,208,227.909,197.7953,205.64,232.1367666,200,NA
"94",218.681304,216.331078303961,220.32,223.057086378327,226.0498814,224.0909,231.3755664,228.7521516,202.544,226.096,220,225.9409,201.7953,208.13,224.4414038,201,NA
"95",211.7141384,198.575623794555,220.09,223.537405702075,216.5022567,208.2606,224.6371382,219.471237,211.8764,219.198,197,212.3952,218.8953,205.58,223.6327657,203,NA
"96",209.9649909,215.200402155108,228.9,233.894215371629,221.4775974,226.771,222.2368571,227.0682732,219.3147,225.023,207,225.2844,184.8368,204.94,229.2564838,204,NA
"97",213.6032834,219.959146877407,217.6,227.604469485805,226.8404659,237.4543,223.0203839,232.8067051,209.2665,230.098,203,224.9001,232.8201,206.82,235.2208061,202,NA
"98",214.9705184,229.3396106452,213.94,216.782154440791,218.0072971,219.0471,226.9689482,218.7512599,206.4099,226.512,213,226.9998,224.0417,206.83,218.5906211,202,NA
"99",214.8914624,217.535939525182,225.27,232.810863498051,231.9120352,241.3379,228.2791243,229.3049022,201.9617,232.433,212,231.4298,246.6044,205.19,235.9626181,203,NA
"100",210.1950719,218.096471267688,213.58,217.242843088854,214.3612195,215.1384,224.0994577,214.3624529,188.1039,221.515,198,224.8781,208.8877,204.82,222.178691,201,NA
"101",219.2512113,232.402666059235,220.54,226.092698469197,222.7290547,219.5276,233.3053217,226.0206505,209.4524,235.823,206,215.8665,233.3232,206.93,238.2982298,201,NA
"102",210.092075,198.528109729265,216.7,221.004494245847,218.5517664,221.5671,217.3532181,215.5769874,208.9607,220.04,201,213.4238,196.5021,206.54,217.7308556,202,NA
