"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"41",22.62454156,22.8515476942514,22.22,21.9044414350597,21.42584551,24.2749,22.78999498,21.51279422,19.60786,24.515,22,13.96514725,23.96012,21.21,18.75388065,22,NA
"42",20.46422307,20.4956175298805,15.81,16.7856872083578,19.59711273,24.31325,19.15023704,20.38549236,19.24002,21.239,18,10.86349864,22.4417,17.03,17.07224958,22,NA
"43",20.54484521,22.8515476942514,19.42,21.2770899338255,22.00889044,21.9472,18.35788663,23.3676289,20.16801,23.832,21,14.45298947,20.16782,20.99,22.05197033,22,NA
"44",21.32729975,22.8515476942514,18.59,19.6993659611461,19.91434363,12.85231,20.78930909,23.06135903,19.24002,22.504,20,13.53376384,16.34319,19.14,18.27990281,22,NA
"45",19.7532225,18.4208308248043,16.34,18.1223265368377,18.25024556,22.66872,15.66356729,23.24921122,19.24002,21.386,20,11.33636157,24.19844,17.76,18.06939203,22,NA
"46",18.1763919,20.4956175298805,17.86,18.2709493593409,20.3581425,16.65472,16.13135975,22.57644195,19.3225,21.876,21,10.49968324,19.68673,19.81,19.2390353,22,NA
"47",20.79930434,22.8515476942514,18.57,19.8872943130988,22.02569735,17.31959,16.48056425,24.1356207,19.24002,22.093,22,8.181273935,23.10947,20.19,19.15007109,22,NA
"48",18.82736393,22.8515476942514,20.44,20.2573865956314,21.14617739,26.69128,17.92848838,23.23841507,19.60786,24.325,21,12.49121297,21.2038,21.14,20.79630722,22,NA
"49",21.62087623,22.8515476942514,19.53,20.3020301352775,19.48865098,20.61792,17.24538602,23.30641441,21.03658,22.403,21,10.0727534,18.10854,22.29,19.2305826,21,NA
"50",18.95311252,22.8515476942514,17.35,18.2171780326147,20.46378019,18.80784,21.14672513,23.52431528,20.29253,21.769,21,7.825218672,23.2997,19.18,17.65786782,22,NA
"51",20.69314206,20.6259668508287,17.28,18.0584243063413,18.74148354,13.06353,21.14672513,22.90940506,19.24002,21.394,22,11.40045037,16.18724,17.52,17.16397722,22,NA
"52",19.88548294,20.4956175298805,15.97,16.9934414990371,18.26613922,20.66597,20.5687924,22.17851993,19.24002,21.288,21,8.05734464,15.57977,16.82,17.36054108,22,NA
