"","Date","Away","Home","Actual","OREB_1","OREB_2","OREB_3","OREB_4","OREB_5","OREB_6","OREB_7","OREB_8","OREB_9","OREB_10","OREB_11","OREB_12","OREB_13","OREB_14","OREB_CV"
"52","3/13/2025","Los Angeles Lakers","Milwaukee Bucks",NA,18,20,17.9982338,24.62,19.8156823065618,20.254988288522,17.9535210358687,19.79327908,15.175,20.35974998,23.25511737,18,23.88972092,20,20
"53","3/13/2025","Brooklyn Nets","Chicago Bulls",NA,22,25,19.99738121,18.31,23.6806864337087,20.3051695623953,20.8240966467135,21.29573599,15.09,26.19206777,20.41097247,21,23.72357941,20,22
"54","3/13/2025","Sacramento Kings","Golden State Warriors",NA,24,28,23.99639511,17.62,23.316984227246,23.6745292826625,23.7177566113443,24.68985837,15.195,30.2396637,24.678048,24,25.22418022,21,22
"55","3/14/2025","Boston Celtics","Miami Heat",NA,20,18,18.99797297,17.9,19.8279191597096,19.8928179229574,20.2818475470093,22.31216529,15.1375,25.17699344,21.45730533,21,22.20877457,19,19
"56","3/14/2025","Indiana Pacers","Philadelphia 76ers",NA,21,26,19.99762535,21.96,21.2893248663697,21.8263877739854,19.1054635305663,20.99012615,15.15,23.79223544,19.18606807,19,19.95297432,20,23
"57","3/14/2025","Los Angeles Clippers","Atlanta Hawks",NA,22,25,21.99701691,20.78,21.4508419373275,22.1626364141534,NA,16.96617136,15.175,19.93602277,20.34503529,22,31.24563599,22,16
"58","3/14/2025","Dallas Mavericks","Houston Rockets",NA,22,26,24.99609184,15.91,23.8190087221184,22.0176500505747,25.0952778449508,28.30296266,15.17,31.83189414,22.28825405,25,18.08349419,20,23
"59","3/14/2025","Cleveland Cavaliers","Memphis Grizzlies",NA,21,21,24.9960804,22.06,25.0986887609788,22.9931869315542,24.3190002438954,25.32526622,15.1325,24.71297891,21.6738391,24,25.93640709,22,33
"60","3/14/2025","Orlando Magic","Minnesota Timberwolves",NA,21,18,22.99670219,20.06,22.397228677053,23.3257605332819,22.6854423048836,20.64487118,15.11,12.39840775,20.81076008,22,26.94093513,21,25
"61","3/14/2025","Charlotte Hornets","San Antonio Spurs",NA,22,20,22.99657726,22.56,21.6271286390828,21.5296495013511,23.2808214828135,26.59898683,15.095,27.59314654,22.117205,24,20.08943176,20,27
"62","3/14/2025","Los Angeles Lakers","Denver Nuggets",NA,19,28,19.99762535,21.41,20.1595335440365,21.213552208307,20.8008593951958,23.74793414,15.15,26.52656644,23.43290524,21,19.29565811,21,20
"63","3/14/2025","Toronto Raptors","Utah Jazz",NA,23,28,23.99638748,22.14,23.5108830492098,22.0186813512511,23.4564236264247,22.67794453,15.08,24.68092769,24.7657092,24,20.56566811,21,22
"64","3/14/2025","Sacramento Kings","Phoenix Suns",NA,21,23,20.99719906,19.12,20.078501311022,21.1333072665821,20.028715371086,22.62518751,15.1775,27.15397262,21.54533982,20,26.8659668,21,21
"65","3/15/2025","Boston Celtics","Brooklyn Nets",NA,22,28,22.99670219,15.73,22.153761266794,22.9543094089807,21.3565112566551,23.72351653,15.1075,28.69270822,22.20941624,22,24.30574608,20,19
"66","3/15/2025","Oklahoma City Thunder","Detroit Pistons",NA,21,24,22.99670219,26.5,24.596755888365,23.6319041088678,22.8439304001752,23.71796095,15.1275,22.94276382,22.1854492,22,21.69845581,22,22
"67","3/15/2025","Chicago Bulls","Houston Rockets",NA,23,19,24,19.28,22.075283271319,20.7582057422884,24.4485634977957,24.73182784,15.1675,24.20226802,21.7661582,25,21.18351364,21,26
"68","3/15/2025","Miami Heat","Memphis Grizzlies",NA,21,17,23.99639511,19.06,20.7739205298972,22.7683195015955,23.2871503546511,24.83213867,15.13,21.31048226,22.8047155,23,20.40694427,21,23
"69","3/15/2025","Indiana Pacers","Milwaukee Bucks",NA,19,20,17.9982338,23.73,20.4943894881559,19.1844075449028,17.7279619673018,20.87235111,15.16,18.67721249,19.19160898,17,27.37920952,20,20
"70","3/15/2025","New York Knicks","Golden State Warriors",NA,24,18,23.99639511,25.07,22.5694093877012,22.4871227878685,23.416084407586,24.79399784,15.1925,23.77918049,25.38045838,24,25.04829597,21,23
