,Date,Away,Home,Actual,Spread_1,Spread_2,Spread_3,Spread_4,Spread_5,Spread_6,Spread_7,Spread_8,Spread_9,Spread_10,Spread_11,Spread_12,Spread_13,Spread_14,Spread_CV
44,3/12/2025,Philadelphia 76ers,Toronto Raptors,13,-6,-3.300275803,5.17,5.65,0.968894124,0.240261406,-2.890746269,-3.096766667,0.13,-1.536360496,-0.494496754,NA,4.706135266,1,2
45,3/12/2025,Phoenix Suns,Houston Rockets,7,6,3.95034647,-5.19,5.13,4.686563082,3.066783428,7.149351978,6.7445,3.15,0.800931734,-2.016382311,NA,-2.608555654,16,1
46,3/12/2025,Utah Jazz,Memphis Grizzlies,7,18,3.405326605,9.538604736,12.29,9.780624913,11.42193127,13.25050091,19.52976667,7,14.01890915,8.795788689,NA,10.34889683,20,11
47,3/12/2025,Los Angeles Clippers,Miami Heat,-15,7,5.764205456,3.797050476,-12.01,3.26214982,1.54999423,0.538923607,-0.0301,-1.61,5.701054586,1.890157057,NA,-0.518643963,-6,-11
48,3/12/2025,Dallas Mavericks,San Antonio Spurs,10,-4,4.378698349,2.75025177,-14.45,0.67971726,-0.478563726,0.448365829,-0.508566667,-2,-4.391637229,0.787424023,NA,0.839798637,1,7
49,3/12/2025,Minnesota Timberwolves,Denver Nuggets,-20,1,2.67379117,10.86470795,-13.75,6.762699683,6.744227886,4.341660587,2.706266667,0.75,13.17821145,9.084088558,NA,18.78582133,-2,-6
50,3/12/2025,New York Knicks,Portland Trail Blazers,-1,-3,-3.794222593,-2.19,-6.94,0.482558221,-2.675805092,-6.625483006,-2.6002,-4.47,15.40412724,-5.299728067,NA,-7.937830468,-3,7
51,3/13/2025,Washington Wizards,Detroit Pistons,-4,13,3.968183517,8.345565796,19.13,8.708700194,9.354989052,8.521805136,8.0767,6.95,21.34713933,9.926453017,NA,7.31852488,20,15
52,3/13/2025,Los Angeles Lakers,Milwaukee Bucks,20,19,2.195682764,6.056297302,-1.25,-2.309738129,-7.840849876,4.675441296,2.925233333,0.34,-13.08698013,3.448899464,NA,0.160577337,3,4
53,3/13/2025,Brooklyn Nets,Chicago Bulls,6,12,-5.026268482,8.007705688,7.96,3.148614208,1.398884654,-2.132079492,-0.016566667,0.5,-3.242005904,7.74622674,NA,10.81912696,-1,8
54,3/13/2025,Sacramento Kings,Golden State Warriors,26,-13,3.384970427,-4.46,-2.84,0.861644707,-5.438317299,-0.343674996,-4.090933333,0.34,23.75603997,1.077073254,NA,-1.772590978,4,6
55,3/14/2025,Boston Celtics,Miami Heat,-12,-12,7.897871494,-4.2,-14.96,-4.175931944,-5.042366028,-9.733322706,-5.665966667,-6.26,-13.47250566,-3.778692944,NA,2.693501307,-11,-16
56,3/14/2025,Indiana Pacers,Philadelphia 76ers,-12,-6,-1.091881275,-4.26,-7.9,-5.570418816,-1.765914202,-5.119215789,-4.137366667,-3.17,-2.2155248,-3.086001062,NA,-8.773795145,-1,-8
57,3/14/2025,Los Angeles Clippers,Atlanta Hawks,-23,-4,0.909755945,9.978507996,-26.07,1.157066756,-4.651518345,-1.210171761,-3.646466667,-2.47,0.417534446,8.542061107,NA,4.601639681,-1,-7
58,3/14/2025,Dallas Mavericks,Houston Rockets,-37,10,3.793854237,-3.66,0.48,5.792493379,3.168734074,4.853846149,3.074266667,0.75,6.079259816,-1.413043427,NA,-3.131033577,12,9
59,3/14/2025,Cleveland Cavaliers,Memphis Grizzlies,-9,-3,2.504759073,-0.23,-6.43,-5.337510776,5.431627274,1.975666051,0.066,-0.06,-6.430762342,-1.795169325,NA,-0.884378509,3,-6
60,3/14/2025,Orlando Magic,Minnesota Timberwolves,7,10,1.841666818,9.697181702,13.37,5.648577712,2.802264929,6.919002857,5.091933333,2.52,0.254530091,7.842931778,NA,6.796046958,1,14
61,3/14/2025,Charlotte Hornets,San Antonio Spurs,-9,16,2.330666065,12.61930084,-0.73,8.813678644,21.50335598,6.829168943,4.685066667,1.97,18.72711201,13.25244024,NA,9.669675533,7,10
62,3/14/2025,Los Angeles Lakers,Denver Nuggets,5,-3,3.28979373,13.00415802,4.79,1.284425271,-10.03372669,7.583454367,6.511933333,1.36,0.147410168,9.683490395,NA,8.938206441,2,0
63,3/14/2025,Toronto Raptors,Utah Jazz,-8,-8,-2.892676115,2.074569702,15,1.514225348,-4.630439758,-2.701943686,-1.285833333,-0.71,2.555106481,5.249943655,NA,-0.414148378,-3,4
