"","Date","Away","Home","Actual","Total_1","Total_2","Total_3","Total_4","Total_5","Total_6","Total_7","Total_8","Total_9","Total_10","Total_11","Total_12","Total_13","Total_14","Total_CV"
"79","3/16/2025","Oklahoma City Thunder","Milwaukee Bucks",226,230,224.608688354492,235.5706177,221.46,226.735309353093,235.006073,225.469990141499,235.334,230.94,240.6216377,209.7738886,227,235.1310667,211,239
"80","3/16/2025","Washington Wizards","Los Angeles Clippers",NA,221,225.882919311523,217.5353546,224.06,223.918295996008,228.1370239,224.066312967558,NA,218.73,221.3296886,215.0962603,229,220.0069,255,217
"81","3/17/2025","Miami Heat","New York Knicks",211,231,219.034301757812,226.3136368,225.82,222.084554957127,222.2379456,223.062945634449,229.0400333,227.6,207.7714433,207.3490199,215,228.8051,233,220
"82","3/17/2025","Philadelphia 76ers","Houston Rockets",281,215,218.691390991211,219.9539108,236.44,224.755512497633,218.0072327,217.820330136547,215.5905,222.29,209.0558422,217.2310596,228,225.3407333,254,229
"83","3/17/2025","Indiana Pacers","Minnesota Timberwolves",262,228,226.79850769043,225.9066391,225.17,230.149384545987,240.9779358,224.328740706887,236.5589,228.27,249.8657004,212.6131351,224,230.2578,236,233
"84","3/17/2025","Detroit Pistons","New Orleans Pelicans",208,227,227.176010131836,229.1988678,213.04,222.123977893611,238.155014,229.265061944565,243.4272667,223.19,239.3433429,206.8797162,228,226.8220333,241,230
"85","3/17/2025","Orlando Magic","San Antonio Spurs",NA,212,216.896926879883,220.3433609,222.84,216.386301805155,207.010498,213.954299844254,NA,215.04,214.9154038,212.3369329,221,216.9575667,204,225
"86","3/17/2025","Chicago Bulls","Utah Jazz",208,241,231.915435791016,230.6688766,250.54,229.061723687392,229.0474091,238.653877171063,241.4605667,228.85,252.3912566,219.840397,217,230.1334,236,244
"87","3/17/2025","Denver Nuggets","Golden State Warriors",219,229,227.182540893555,231.4645462,232.27,233.783486501663,232.3406219,231.855495204864,242.1240667,235.12,248.2540886,213.6205564,233,235.402,220,243
"88","3/17/2025","Toronto Raptors","Phoenix Suns",218,233,230.849227905273,222.9017181,232.25,229.685042337257,229.2722778,224.609332095339,231.7755,223.14,228.7078035,223.0677884,225,222.8484667,233,230
"89","3/17/2025","Memphis Grizzlies","Sacramento Kings",254,241,237.728118896484,239.67733,242.66,241.926137810293,238.6004181,240.045657590721,248.7901,239.48,265.5837823,216.7305118,225,240.64,232,244
"90","3/18/2025","Atlanta Hawks","Charlotte Hornets",236,225,223.398559570312,223.1126175,235.35,223.272182973665,222.2561646,226.82312165262,228.6255667,223.22,224.9078991,221.5548636,225,223.9590667,219,218
"91","3/18/2025","Brooklyn Nets","Boston Celtics",200,216,217.418426513672,224.4241409,233.3,225.111114252168,217.6828918,213.413108864617,225.7616333,220.77,217.0371872,213.5757539,221,219.6743,219,227
"92","3/18/2025","Washington Wizards","Portland Trail Blazers",NA,225,229.169464111328,217.6539078,245.65,231.29980591266,230.8387756,226.430596396416,234.2220333,218.53,230.1923893,218.9918521,230,216.0705667,239,230
"93","3/18/2025","Cleveland Cavaliers","Los Angeles Clippers",251,232,225.025314331055,233.7208252,228.02,219.632645197353,231.0449677,226.232222000993,239.8813333,233.86,241.6317128,203.2298676,224,233.8424,235,229
"94","3/18/2025","Milwaukee Bucks","Los Angeles Lakers",NA,230,224.257766723633,227.2619019,225.85,232.706411778832,220.829361,225.404105904643,230.9540667,223.9,209.3917896,213.8601911,228,229.9545667,243,239
"95","3/19/2025","Dallas Mavericks","Indiana Pacers",266,236,231.583953857422,233.1016693,243.78,237.586363430438,230.8607788,232.146573145698,240.1039333,231.95,228.7569809,212.4576787,222,233.0348667,244,237
"96","3/19/2025","Houston Rockets","Orlando Magic",224,200,212.248947143555,219.3768463,234.15,218.353454226378,211.6575928,208.609892851347,207.4415667,216.83,191.0034571,210.8215095,227,218.9257667,204,217
"97","3/19/2025","Detroit Pistons","Miami Heat",229,225,219.679901123047,227.5908966,230.81,220.773260906323,233.7901611,221.545250819017,236.3730667,222.86,231.8392984,206.9785352,218,227.5813,225,227
"98","3/19/2025","New Orleans Pelicans","Minnesota Timberwolves",234,218,225.69401550293,219.5793991,209.05,227.760986061107,230.3253632,223.234274286191,234.3535333,222.32,237.3913295,202.1265208,232,222.3219667,221,215
"99","3/19/2025","Philadelphia 76ers","Oklahoma City Thunder",233,227,219.006103515625,229.5836639,222.56,216.645315838154,223.9341583,223.5695214,232.8264333,228.12,236.4245633,212.0208481,225,230.6795,249,229
"100","3/19/2025","New York Knicks","San Antonio Spurs",225,237,228.015731811523,232.9090958,228.2,221.999266487623,229.5656433,228.812995959701,239.2980667,229.06,222.115418,220.7367247,222,231.4666,256,234
"101","3/19/2025","Los Angeles Clippers","Utah Jazz",NA,224,223.317520141602,221.7560272,223.29,227.329543842005,212.7643738,224.894988291329,NA,222.12,221.7879661,215.6930097,223,224.5154333,219,231
"102","3/19/2025","Toronto Raptors","Golden State Warriors",NA,216,225.801406860352,221.8140335,212.07,228.670851168734,227.3002625,222.886427479834,226.4324333,222.65,234.5654476,220.3318226,230,223.1826,255,221
"103","3/19/2025","Denver Nuggets","Los Angeles Lakers",228,240,227.451858520508,233.968811,221.79,240.067615847834,240.557251,232.6076529,242.0151,235.13,234.2934125,210.5707728,229,235.9327667,238,235
"104","3/19/2025","Chicago Bulls","Phoenix Suns",248,244,234.44792175293,231.6012115,235.72,242.00729280769,233.8244476,234.352976527971,238.1354333,229.71,252.0164585,221.879276,221,233.0534,229,235
"105","3/19/2025","Memphis Grizzlies","Portland Trail Blazers",214,234,231.420684814453,234.4205322,222.97,232.669746396148,227.5383453,232.876804972603,243.9512333,234.82,259.4098105,213.2996536,221,233.8221333,214,232
"106","3/19/2025","Cleveland Cavaliers","Sacramento Kings",242,243,231.686965942383,239.5238953,239.62,235.605270152861,236.1197357,235.765358047968,247.8814333,237.59,256.6683854,210.5563176,229,240.7175667,251,233
