Date,Home Team,Visitor Team,Home Score,Visitor Score,Location,Season,Season Type,Spread,Total,Result
9/19/2015,Georgia Southern,Citadel,48,13,Visitor,2015-16,Regular,35,61,W
9/19/2015,Georgia,South Carolina,52,20,Visitor,2015-16,Regular,32,72,W
9/19/2015,Florida Intl,North Carolina Central,39,14,Visitor,2015-16,Regular,25,53,W
9/19/2015,Western Michigan,Murray State,52,20,Visitor,2015-16,Regular,32,72,W
9/19/2015,Middle Tenn St,Charlotte U,73,14,Visitor,2015-16,Regular,59,87,W
9/19/2015,Arkansas State,Missouri State,70,7,Visitor,2015-16,Regular,63,77,W
9/19/2015,Tennessee,Western Carolina,55,10,Visitor,2015-16,Regular,45,65,W
9/19/2015,Texas,California,44,45,Visitor,2015-16,Regular,-1,89,L
9/19/2015,Penn State,Rutgers,28,3,Visitor,2015-16,Regular,25,31,W
9/19/2015,Tulane,Maine,38,7,Visitor,2015-16,Regular,31,45,W
9/19/2015,Oregon State,San Jose State,35,21,Visitor,2015-16,Regular,14,56,W
9/19/2015,Arizona,Northern Arizona,77,13,Visitor,2015-16,Regular,64,90,W
9/19/2015,LSU,Auburn,45,21,Visitor,2015-16,Regular,24,66,W
9/19/2015,Notre Dame,Georgia Tech,30,22,Visitor,2015-16,Regular,8,52,W
9/19/2015,Toledo,Iowa State,30,23,Visitor,2015-16,Regular,7,53,W
9/19/2015,Colorado State,Colorado,24,27,Neutral,2015-16,Regular,-3,51,L
9/19/2015,Colorado State,Colorado,24,27,Neutral,2015-16,Regular,-3,51,L
9/19/2015,Old Dominion,NC State,14,38,Visitor,2015-16,Regular,-24,52,L
9/19/2015,North Texas,Rice,24,38,Visitor,2015-16,Regular,-14,62,L
9/19/2015,New Mexico State,UTEP,47,50,Visitor,2015-16,Regular,-3,97,L
9/19/2015,Miami Florida,Nebraska,36,33,Visitor,2015-16,Regular,3,69,W
9/19/2015,Syracuse,Central Michigan,30,27,Visitor,2015-16,Regular,3,57,W
9/19/2015,TCU,SMU,56,37,Visitor,2015-16,Regular,19,93,W
9/19/2015,Akron,Savannah State,52,9,Visitor,2015-16,Regular,43,61,W
9/19/2015,Eastern Michigan,Ball State,17,28,Visitor,2015-16,Regular,-11,45,L
9/19/2015,Marshall,Norfolk State,45,7,Visitor,2015-16,Regular,38,52,W
9/19/2015,Virginia,William & Mary,35,29,Visitor,2015-16,Regular,6,64,W
9/19/2015,Vanderbilt,Austin Peay,47,7,Visitor,2015-16,Regular,40,54,W
9/19/2015,Central Florida,Furman,15,16,Visitor,2015-16,Regular,-1,31,L
9/19/2015,Hawaii,UC Davis,47,27,Visitor,2015-16,Regular,20,74,W
9/19/2015,Texas A&M,Nevada,44,27,Visitor,2015-16,Regular,17,71,W
9/19/2015,USC,Stanford,31,41,Visitor,2015-16,Regular,-10,72,L
9/19/2015,Missouri,Connecticut,9,6,Visitor,2015-16,Regular,3,15,W
9/19/2015,Minnesota,Kent,10,7,Visitor,2015-16,Regular,3,17,W
9/19/2015,Michigan State,Air Force,35,21,Visitor,2015-16,Regular,14,56,W
9/19/2015,Duke,Northwestern,10,19,Visitor,2015-16,Regular,-9,29,L
9/19/2015,Oregon,Georgia State,61,28,Visitor,2015-16,Regular,33,89,W
9/19/2015,Wisconsin,Troy,28,3,Visitor,2015-16,Regular,25,31,W
9/19/2015,Ohio State,Northern Illinois,20,13,Visitor,2015-16,Regular,7,33,W
9/19/2015,Texas State,Southern Miss,50,56,Visitor,2015-16,Regular,-6,106,L
9/19/2015,San Diego State,South Alabama,27,34,Visitor,2015-16,Regular,-7,61,L
9/19/2015,Iowa,Pittsburgh,27,24,Visitor,2015-16,Regular,3,51,W
9/19/2015,Alabama,Mississippi,37,43,Visitor,2015-16,Regular,-6,80,L
9/19/2015,Purdue,Virginia Tech,24,51,Visitor,2015-16,Regular,-27,75,L
9/19/2015,Kentucky,Florida,9,14,Visitor,2015-16,Regular,-5,23,L
9/19/2015,Arkansas,Texas Tech,24,35,Visitor,2015-16,Regular,-11,59,L
9/19/2015,Florida Atlantic,Buffalo,15,33,Visitor,2015-16,Regular,-18,48,L
9/19/2015,Kansas State,Louisiana Tech,39,33,Visitor,2015-16,Regular,6,72,W
9/19/2015,Fresno State,Utah,24,45,Visitor,2015-16,Regular,-21,69,L
9/19/2015,Washington State,Wyoming,31,14,Visitor,2015-16,Regular,17,45,W
9/19/2015,UCLA,BYU,24,23,Visitor,2015-16,Regular,1,47,W
9/19/2015,Michigan,UNLV,28,7,Visitor,2015-16,Regular,21,35,W
9/19/2015,Oklahoma,Tulsa,52,38,Visitor,2015-16,Regular,14,90,W
9/24/2015,Memphis,Cincinnati,53,46,Visitor,2015-16,Regular,7,99,W
9/25/2015,Virginia,Boise State,14,56,Visitor,2015-16,Regular,-42,70,L
9/25/2015,Oregon State,Stanford,24,42,Visitor,2015-16,Regular,-18,66,L
9/26/2015,Penn State,San Diego State,37,21,Visitor,2015-16,Regular,16,58,W
9/26/2015,Toledo,Arkansas State,37,7,Visitor,2015-16,Regular,30,44,W
9/26/2015,Syracuse,LSU,24,34,Visitor,2015-16,Regular,-10,58,L
9/26/2015,South Carolina,Central Florida,31,14,Visitor,2015-16,Regular,17,45,W
9/26/2015,Kentucky,Missouri,21,13,Visitor,2015-16,Regular,8,34,W
9/26/2015,Florida,Tennessee,28,27,Visitor,2015-16,Regular,1,55,W
9/26/2015,East Carolina,Virginia Tech,35,28,Visitor,2015-16,Regular,7,63,W
9/26/2015,Louisville,Samford,45,3,Visitor,2015-16,Regular,42,48,W
9/26/2015,Duke,Georgia Tech,34,20,Visitor,2015-16,Regular,14,54,W
9/26/2015,Michigan,BYU,31,0,Visitor,2015-16,Regular,31,31,W
9/26/2015,Iowa,North Texas,62,16,Visitor,2015-16,Regular,46,78,W
9/26/2015,West Virginia,Maryland,45,6,Visitor,2015-16,Regular,39,51,W
9/26/2015,Texas Tech,TCU,52,55,Visitor,2015-16,Regular,-3,107,L
9/26/2015,Houston,Texas State,59,14,Visitor,2015-16,Regular,45,73,W
9/26/2015,Baylor,Rice,70,17,Visitor,2015-16,Regular,53,87,W
9/26/2015,Notre Dame,Massachusetts,62,27,Visitor,2015-16,Regular,35,89,W
9/26/2015,Western Kentucky,Miami Ohio,56,14,Visitor,2015-16,Regular,42,70,W
9/26/2015,UTSA,Colorado State,31,33,Visitor,2015-16,Regular,-2,64,L
9/26/2015,Wisconsin,Hawaii,28,0,Visitor,2015-16,Regular,28,28,W
9/26/2015,UNLV,Idaho State,80,8,Visitor,2015-16,Regular,72,88,W
9/26/2015,San Jose State,Fresno State,49,23,Visitor,2015-16,Regular,26,72,W
9/26/2015,Arkansas,Texas A&M,21,28,Neutral,2015-16,Regular,-7,49,L
9/26/2015,Boston College,Northern Illinois,17,14,Visitor,2015-16,Regular,3,31,W
9/26/2015,Rutgers,Kansas,27,14,Visitor,2015-16,Regular,13,41,W
9/26/2015,Arizona,UCLA,30,56,Visitor,2015-16,Regular,-26,86,L
9/26/2015,Michigan State,Central Michigan,30,10,Visitor,2015-16,Regular,20,40,W
9/26/2015,Texas,Oklahoma State,27,30,Visitor,2015-16,Regular,-3,57,L
9/26/2015,UL Lafayette,Akron,14,35,Visitor,2015-16,Regular,-21,49,L
9/26/2015,Colorado,Nicholls State,48,0,Visitor,2015-16,Regular,48,48,W
9/26/2015,Georgia,Southern,48,6,Visitor,2015-16,Regular,42,54,W
9/26/2015,North Carolina,Delaware,41,14,Visitor,2015-16,Regular,27,55,W
9/26/2015,SMU,James Madison,45,48,Visitor,2015-16,Regular,-3,93,L
9/26/2015,UTEP,Incarnate Word,27,17,Visitor,2015-16,Regular,10,44,W
9/26/2015,Kent,Marshall,29,36,Visitor,2015-16,Regular,-7,65,L
9/26/2015,Wyoming,New Mexico,28,38,Visitor,2015-16,Regular,-10,66,L
9/26/2015,Washington,California,24,30,Visitor,2015-16,Regular,-6,54,L
9/26/2015,Alabama,UL Monroe,34,0,Visitor,2015-16,Regular,34,34,W
9/26/2015,Wake Forest,Indiana,24,31,Visitor,2015-16,Regular,-7,55,L
9/26/2015,Buffalo,Nevada,21,24,Visitor,2015-16,Regular,-3,45,L
9/26/2015,Purdue,Bowling Green,28,35,Visitor,2015-16,Regular,-7,63,L
9/26/2015,South Alabama,NC State,13,63,Visitor,2015-16,Regular,-50,76,L
9/26/2015,Arizona State,USC,14,42,Visitor,2015-16,Regular,-28,56,L
9/26/2015,Louisiana Tech,Florida Intl,27,17,Visitor,2015-16,Regular,10,44,W
9/26/2015,Old Dominion,Appalachian St,0,49,Visitor,2015-16,Regular,-49,49,L
9/26/2015,Northwestern,Ball State,24,19,Visitor,2015-16,Regular,5,43,W
9/26/2015,Arkansas,Texas A&M,21,28,Neutral,2015-16,Regular,-7,49,L
9/26/2015,Idaho,Georgia Southern,20,44,Visitor,2015-16,Regular,-24,64,L
9/26/2015,Eastern Michigan,Army,36,58,Visitor,2015-16,Regular,-22,94,L
9/26/2015,Oregon,Utah,20,62,Visitor,2015-16,Regular,-42,82,L
9/26/2015,Connecticut,Navy,18,28,Visitor,2015-16,Regular,-10,46,L
9/26/2015,Mississippi,Vanderbilt,27,16,Visitor,2015-16,Regular,11,43,W
9/26/2015,Minnesota,Ohio,27,24,Visitor,2015-16,Regular,3,51,W
9/26/2015,Auburn,Mississippi St,9,17,Visitor,2015-16,Regular,-8,26,L
9/26/2015,Illinois,Middle Tenn St,27,25,Visitor,2015-16,Regular,2,52,W
9/26/2015,Nebraska,Southern Miss,36,28,Visitor,2015-16,Regular,8,64,W
9/26/2015,Ohio State,Western Michigan,38,12,Visitor,2015-16,Regular,26,50,W
10/1/2015,Cincinnati,Miami Florida,34,23,Visitor,2015-16,Regular,11,57,W
10/2/2015,BYU,Connecticut,30,13,Visitor,2015-16,Regular,17,43,W
10/2/2015,South Florida,Memphis,17,24,Visitor,2015-16,Regular,-7,41,L
10/3/2015,Massachusetts,Florida Intl,24,14,Visitor,2015-16,Regular,10,38,W
10/3/2015,Missouri,South Carolina,24,10,Visitor,2015-16,Regular,14,34,W
10/3/2015,Wake Forest,Florida State,16,24,Visitor,2015-16,Regular,-8,40,L
10/3/2015,Iowa State,Kansas,38,13,Visitor,2015-16,Regular,25,51,W
10/3/2015,Oklahoma,West Virginia,44,24,Visitor,2015-16,Regular,20,68,W
10/3/2015,TCU,Texas,50,7,Visitor,2015-16,Regular,43,57,W
10/3/2015,Baylor,Texas Tech,63,35,Neutral,2015-16,Regular,28,98,W
10/3/2015,Illinois,Nebraska,14,13,Visitor,2015-16,Regular,1,27,W
10/3/2015,Indiana,Ohio State,27,34,Visitor,2015-16,Regular,-7,61,L
