Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On San Jose State,Air Force,San Jose State,37,16,9/12/2015,4.5,L,-100,Visitor,2015-16,Regular
Play On North Texas,SMU,North Texas,31,13,9/12/2015,6,L,-100,Visitor,2015-16,Regular
Play On Ball State,Texas A&M,Ball State,56,23,9/12/2015,31,L,-100,Visitor,2015-16,Regular
Play On UTEP,Texas Tech,UTEP,69,20,9/12/2015,20.5,L,-100,Visitor,2015-16,Regular
Play On South Alabama,Nebraska,South Alabama,48,9,9/12/2015,27.5,L,-100,Visitor,2015-16,Regular
Play On Florida Intl,Indiana,Florida Intl,36,22,9/12/2015,7.5,L,-100,Visitor,2015-16,Regular
Play On Idaho,USC,Idaho,59,9,9/12/2015,44.5,L,-100,Visitor,2015-16,Regular
Play On Central Florida,Stanford,Central Florida,31,7,9/12/2015,20,L,-100,Visitor,2015-16,Regular
Play On Western Illinois,Illinois,Western Illinois,44,0,9/12/2015,22,L,-100,Visitor,2015-16,Regular
Play On Indiana State,Purdue,Indiana State,38,14,9/12/2015,15,L,-100,Visitor,2015-16,Regular
Play On Howard,Boston College,Howard,76,0,9/12/2015,44,L,-100,Visitor,2015-16,Regular
Play On Sacramento State,Washington,Sacramento State,49,0,9/12/2015,30.5,L,-100,Visitor,2015-16,Regular
Play On Monmouth,Central Michigan,Monmouth,31,10,9/12/2015,20.5,L,-100,Visitor,2015-16,Regular
Play On Austin Peay,Southern Miss,Austin Peay,52,6,9/12/2015,35.5,L,-100,Visitor,2015-16,Regular
Play On Murray State,Northern Illinois,Murray State,57,26,9/12/2015,28,L,-100,Visitor,2015-16,Regular
Play On Furman,Virginia Tech,Furman,42,3,9/12/2015,35,L,-100,Visitor,2015-16,Regular
Play On Eastern Illinois,Northwestern,Eastern Illinois,41,0,9/12/2015,24,L,-100,Visitor,2015-16,Regular
Play On North Carolina A&T,North Carolina,North Carolina A&T,53,14,9/12/2015,33.5,L,-100,Visitor,2015-16,Regular
Play On North Carolina Central,Duke,North Carolina Central,55,0,9/12/2015,32,L,-100,Visitor,2015-16,Regular
Play On Delaware State,Kent,Delaware State,45,13,9/12/2015,29.5,L,-100,Visitor,2015-16,Regular
Play On Stephen Austin,TCU,Stephen Austin,70,7,9/12/2015,46,L,-100,Visitor,2015-16,Regular
Play On Northwestern State,UL Lafayette,Northwestern State,44,17,9/12/2015,23,L,-100,Visitor,2015-16,Regular
Play On Nicholls State,UL Monroe,Nicholls State,47,0,9/12/2015,39.5,L,-100,Visitor,2015-16,Regular
Play On Prairie View,Texas State,Prairie View,63,24,9/12/2015,27.5,L,-100,Visitor,2015-16,Regular
Play On Charleston Southern,Troy,Charleston Southern,44,16,9/12/2015,4.5,L,-100,Visitor,2015-16,Regular
Play On Minnesota,Colorado State,Minnesota,20,23,9/12/2015,-3.5,L,-100,Visitor,2015-16,Regular
