Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On UL Monroe,Texas State,UL Monroe,27,45,10/7/2017,-6,W,96.2,Visitor,2017-18,Regular
Play On Notre Dame,North Carolina,Notre Dame,10,33,10/7/2017,-13.5,W,97.1,Visitor,2017-18,Regular
Play On Wake Forest,Clemson,Wake Forest,28,14,10/7/2017,21,W,97.1,Visitor,2017-18,Regular
Play On Kent,Northern Illinois,Kent,24,3,10/7/2017,23,W,97.1,Visitor,2017-18,Regular
Play On Missouri,Kentucky,Missouri,40,34,10/7/2017,8.5,W,98,Visitor,2017-18,Regular
Play On Wisconsin,Nebraska,Wisconsin,17,38,10/7/2017,-12.5,W,98,Visitor,2017-18,Regular
Play On Oregon State,USC,Oregon State,38,10,10/7/2017,32.5,W,100,Visitor,2017-18,Regular
Play On West Virginia,TCU,West Virginia,31,24,10/7/2017,12,W,101,Visitor,2017-18,Regular
Play On Washington State,Oregon,Washington State,10,33,10/7/2017,-1.5,W,102,Visitor,2017-18,Regular
Play On Air Force,Navy,Air Force,48,45,10/7/2017,9,W,102,Visitor,2017-18,Regular
Play On Georgia,Vanderbilt,Georgia,14,45,10/7/2017,-17,W,108,Visitor,2017-18,Regular
Play On South Alabama,Troy,South Alabama,8,19,10/11/2017,18,W,101,Visitor,2017-18,Regular
Play On Texas State,UL Lafayette,Texas State,24,7,10/12/2017,14,L,-100,Visitor,2017-18,Regular
Play On Clemson,Syracuse,Clemson,27,24,10/13/2017,-24,L,-100,Visitor,2017-18,Regular
Play On Washington State,California,Washington State,37,3,10/13/2017,-16,L,-100,Visitor,2017-18,Regular
Play On Oklahoma,Texas,Oklahoma,24,29,10/14/2017,-9,L,-100,Neutral,2017-18,Regular
Play On Oregon,Stanford,Oregon,49,7,10/14/2017,10,L,-100,Visitor,2017-18,Regular
Play On Vanderbilt,Mississippi,Vanderbilt,57,35,10/14/2017,3,L,-100,Visitor,2017-18,Regular
Play On BYU,Mississippi St,BYU,35,10,10/14/2017,22,L,-100,Visitor,2017-18,Regular
Play On Houston,Tulsa,Houston,45,17,10/14/2017,-14,L,-100,Visitor,2017-18,Regular
Play On Auburn,LSU,Auburn,27,23,10/14/2017,-6.5,L,-100,Visitor,2017-18,Regular
Play On Colorado,Oregon State,Colorado,33,36,10/14/2017,-9.5,L,-100,Visitor,2017-18,Regular
Play On Northern Illinois,Buffalo,Northern Illinois,13,14,10/14/2017,-7.5,L,-100,Visitor,2017-18,Regular
Play On Cincinnati,South Florida,Cincinnati,33,3,10/14/2017,24,L,-100,Visitor,2017-18,Regular
Play On East Carolina,Central Florida,East Carolina,63,21,10/14/2017,35,L,-100,Visitor,2017-18,Regular
Play On Coastal Carolina,Arkansas State,Coastal Carolina,51,17,10/14/2017,16.5,L,-100,Visitor,2017-18,Regular
Play On Michigan State,Minnesota,Michigan State,27,30,10/14/2017,-4,L,-100,Visitor,2017-18,Regular
Play On UCLA,Arizona,UCLA,47,30,10/14/2017,-3,L,-100,Visitor,2017-18,Regular
Play On Texas Tech,West Virginia,Texas Tech,46,35,10/14/2017,5.5,L,-100,Visitor,2017-18,Regular
Play On Washington,Arizona State,Washington,13,7,10/14/2017,-17.5,L,-100,Visitor,2017-18,Regular
Play On Baylor,Oklahoma State,Baylor,59,16,10/14/2017,26,L,-100,Visitor,2017-18,Regular
Play On Kansas,Iowa State,Kansas,45,0,10/14/2017,22.5,L,-100,Visitor,2017-18,Regular
Play On Old Dominion,Marshall,Old Dominion,35,3,10/14/2017,12.5,L,-100,Visitor,2017-18,Regular
Play On Miami Ohio,Kent,Miami Ohio,17,14,10/14/2017,-8.5,L,-100,Visitor,2017-18,Regular
Play On Charlotte U,Western Kentucky,Charlotte U,45,14,10/14/2017,18,L,-100,Visitor,2017-18,Regular
Play On Appalachian St,Idaho,Appalachian St,20,23,10/14/2017,-11.5,L,-100,Visitor,2017-18,Regular
Play On Middle Tenn St,UAB,Middle Tenn St,25,23,10/14/2017,-4.5,L,-100,Visitor,2017-18,Regular
Play On UTSA,North Texas,UTSA,29,26,10/14/2017,-2.5,L,-100,Visitor,2017-18,Regular
Play On Tulane,Florida Intl,Tulane,23,10,10/14/2017,-12.5,L,-100,Visitor,2017-18,Regular
Play On UTEP,Southern Miss,UTEP,24,0,10/14/2017,23,L,-100,Visitor,2017-18,Regular
Play On New Mexico,Fresno State,New Mexico,38,0,10/14/2017,-2,L,-100,Visitor,2017-18,Regular
Play On Michigan,Indiana,Michigan,20,27,10/14/2017,-7,P,0,Visitor,2017-18,Regular
Play On Florida State,Duke,Florida State,10,17,10/14/2017,-7,P,0,Visitor,2017-18,Regular
Play On Purdue,Wisconsin,Purdue,17,9,10/14/2017,17,W,87,Visitor,2017-18,Regular
Play On Georgia State,UL Monroe,Georgia State,37,47,10/14/2017,3.5,W,87.7,Visitor,2017-18,Regular
Play On Toledo,Central Michigan,Toledo,10,30,10/14/2017,-9.5,W,88.5,Visitor,2017-18,Regular
Play On Virginia,North Carolina,Virginia,14,20,10/14/2017,-3,W,89.3,Visitor,2017-18,Regular
Play On Eastern Michigan,Army,Eastern Michigan,28,27,10/14/2017,4.5,W,90.9,Visitor,2017-18,Regular
Play On Navy,Memphis,Navy,30,27,10/14/2017,3.5,W,90.9,Visitor,2017-18,Regular
Play On TCU,Kansas State,TCU,6,26,10/14/2017,-7,W,90.9,Visitor,2017-18,Regular
Play On Connecticut,Temple,Connecticut,24,28,10/14/2017,10.5,W,90.9,Visitor,2017-18,Regular
Play On NC State,Pittsburgh,NC State,17,35,10/14/2017,-11.5,W,90.9,Visitor,2017-18,Regular
Play On Wyoming,Utah State,Wyoming,23,28,10/14/2017,-1,W,90.9,Visitor,2017-18,Regular
Play On Texas A&M,Florida,Texas A&M,17,19,10/14/2017,3.5,W,92.6,Visitor,2017-18,Regular
Play On Utah,USC,Utah,28,27,10/14/2017,13.5,W,92.6,Visitor,2017-18,Regular
Play On South Carolina,Tennessee,South Carolina,9,15,10/14/2017,2.5,W,92.6,Visitor,2017-18,Regular
Play On Ohio,Bowling Green,Ohio,30,48,10/14/2017,-9.5,W,92.6,Visitor,2017-18,Regular
Play On Northwestern,Maryland,Northwestern,21,37,10/14/2017,-2.5,W,93.5,Visitor,2017-18,Regular
Play On Texas,Texas,Oklahoma,24,29,10/14/2017,9,W,94.3,Neutral,2017-18,Regular
Play On Nevada,Colorado State,Nevada,44,42,10/14/2017,24,W,94.3,Visitor,2017-18,Regular
Play On Boston College,Louisville,Boston College,42,45,10/14/2017,19,W,94.3,Visitor,2017-18,Regular
Play On Ohio State,Nebraska,Ohio State,14,56,10/14/2017,-23.5,W,94.3,Visitor,2017-18,Regular
Play On Arkansas,Alabama,Arkansas,41,9,10/14/2017,36.5,W,94.3,Visitor,2017-18,Regular
Play On New Mexico State,Georgia Southern,New Mexico State,27,35,10/14/2017,-5,W,94.3,Visitor,2017-18,Regular
Play On Boise State,San Diego State,Boise State,14,31,10/14/2017,4,W,98,Visitor,2017-18,Regular
Play On Missouri,Georgia,Missouri,53,28,10/14/2017,28.5,W,101,Visitor,2017-18,Regular
Play On UNLV,Air Force,UNLV,34,30,10/14/2017,9.5,W,101,Visitor,2017-18,Regular
Play On Georgia Tech,Miami Florida,Georgia Tech,25,24,10/14/2017,6.5,W,102,Visitor,2017-18,Regular
Play On Rutgers,Illinois,Rutgers,24,35,10/14/2017,-1.5,W,103,Visitor,2017-18,Regular
Play On San Jose State,Hawaii,San Jose State,37,26,10/15/2017,17,W,90.9,Visitor,2017-18,Regular
Play On Akron,Western Michigan,Akron,13,14,10/15/2017,12.5,W,94.3,Visitor,2017-18,Regular
Play On UL Lafayette,Arkansas State,UL Lafayette,47,3,10/19/2017,12,L,-100,Visitor,2017-18,Regular
Play On Memphis,Houston,Memphis,38,42,10/19/2017,0,W,92.6,Visitor,2017-18,Regular
Play On Western Kentucky,Old Dominion,Western Kentucky,31,35,10/20/2017,-6.5,L,-100,Visitor,2017-18,Regular
Play On Air Force,Nevada,Air Force,42,45,10/20/2017,-6,L,-100,Visitor,2017-18,Regular
Play On Colorado State,New Mexico,Colorado State,24,27,10/20/2017,-9.5,L,-100,Visitor,2017-18,Regular
Play On Marshall,Middle Tenn St,Marshall,10,38,10/20/2017,-1.5,W,87.7,Visitor,2017-18,Regular
Play On Purdue,Rutgers,Purdue,14,12,10/21/2017,-7.5,L,-100,Visitor,2017-18,Regular
Play On Maryland,Wisconsin,Maryland,38,13,10/21/2017,24,L,-100,Visitor,2017-18,Regular
Play On South Florida,Tulane,South Florida,28,34,10/21/2017,-10,L,-100,Visitor,2017-18,Regular
Play On Indiana,Michigan State,Indiana,17,9,10/21/2017,6.5,L,-100,Visitor,2017-18,Regular
Play On Kansas,TCU,Kansas,43,0,10/21/2017,37.5,L,-100,Visitor,2017-18,Regular
Play On North Texas,Florida Atlantic,North Texas,69,31,10/21/2017,3.5,L,-100,Visitor,2017-18,Regular
Play On Kent,Ohio,Kent,48,3,10/21/2017,17,L,-100,Visitor,2017-18,Regular
Play On Michigan,Penn State,Michigan,42,13,10/21/2017,7.5,L,-100,Visitor,2017-18,Regular
Play On Arizona,California,Arizona,44,45,10/21/2017,-5,L,-100,Visitor,2017-18,Regular
Play On Kentucky,Mississippi St,Kentucky,45,7,10/21/2017,14.5,L,-100,Visitor,2017-18,Regular
Play On Oregon,UCLA,Oregon,31,14,10/21/2017,6,L,-100,Visitor,2017-18,Regular
Play On Tennessee,Alabama,Tennessee,45,7,10/21/2017,36.5,L,-100,Visitor,2017-18,Regular
Play On SMU,Cincinnati,SMU,28,31,10/21/2017,-5.5,L,-100,Visitor,2017-18,Regular
Play On Idaho,Missouri,Idaho,68,21,10/21/2017,14.5,L,-100,Visitor,2017-18,Regular
Play On Wake Forest,Georgia Tech,Wake Forest,38,24,10/21/2017,3,L,-100,Visitor,2017-18,Regular
Play On Tulsa,Connecticut,Tulsa,20,14,10/21/2017,-4,L,-100,Visitor,2017-18,Regular
Play On Akron,Toledo,Akron,48,21,10/21/2017,15,L,-100,Visitor,2017-18,Regular
Play On Oklahoma,Kansas State,Oklahoma,35,42,10/21/2017,-14.5,L,-100,Visitor,2017-18,Regular
Play On North Carolina,Virginia Tech,North Carolina,59,7,10/21/2017,20.5,L,-100,Visitor,2017-18,Regular
Play On Iowa,Northwestern,Iowa,17,10,10/21/2017,2.5,L,-100,Visitor,2017-18,Regular
Play On Colorado,Washington State,Colorado,28,0,10/21/2017,9,L,-100,Visitor,2017-18,Regular
Play On BYU,East Carolina,BYU,33,17,10/21/2017,-5,L,-100,Visitor,2017-18,Regular
Play On West Virginia,Baylor,West Virginia,36,38,10/21/2017,-10.5,L,-100,Visitor,2017-18,Regular
Play On Oklahoma State,Texas,Oklahoma State,10,13,10/21/2017,-7,L,-100,Visitor,2017-18,Regular
Play On Buffalo,Miami Ohio,Buffalo,24,14,10/21/2017,3,L,-100,Visitor,2017-18,Regular
Play On UL Monroe,South Alabama,UL Monroe,33,23,10/21/2017,3.5,L,-100,Visitor,2017-18,Regular
Play On Georgia Southern,Massachusetts,Georgia Southern,55,20,10/21/2017,7.5,L,-100,Visitor,2017-18,Regular
Play On UAB,Charlotte U,UAB,25,24,10/21/2017,-9.5,L,-100,Visitor,2017-18,Regular
Play On USC,Notre Dame,USC,49,14,10/21/2017,3.5,L,-100,Visitor,2017-18,Regular
Play On Central Florida,Navy,Central Florida,21,31,10/21/2017,-10,P,0,Visitor,2017-18,Regular
Play On LSU,Mississippi,LSU,24,40,10/21/2017,-6.5,W,87,Visitor,2017-18,Regular
Play On Northern Illinois,Bowling Green,Northern Illinois,17,48,10/21/2017,-14,W,87,Visitor,2017-18,Regular
Play On Rice,UTSA,Rice,20,7,10/21/2017,19.5,W,87.7,Visitor,2017-18,Regular
Play On Temple,Army,Temple,31,28,10/21/2017,7,W,88.5,Visitor,2017-18,Regular
Play On Boston College,Virginia,Boston College,10,41,10/21/2017,7,W,90.1,Visitor,2017-18,Regular
Play On Illinois,Minnesota,Illinois,24,17,10/21/2017,14.5,W,90.1,Visitor,2017-18,Regular
Play On Utah State,UNLV,Utah State,28,52,10/21/2017,3.5,W,91.7,Visitor,2017-18,Regular
Play On Fresno State,San Diego State,Fresno State,3,27,10/21/2017,6.5,W,91.7,Visitor,2017-18,Regular
Play On Pittsburgh,Duke,Pittsburgh,17,24,10/21/2017,9,W,92.6,Visitor,2017-18,Regular
Play On Iowa State,Texas Tech,Iowa State,13,31,10/21/2017,6.5,W,94.3,Visitor,2017-18,Regular
Play On Arizona State,Utah,Arizona State,10,30,10/21/2017,9.5,W,94.3,Visitor,2017-18,Regular
Play On Wyoming,Boise State,Wyoming,24,14,10/21/2017,15.5,W,94.3,Visitor,2017-18,Regular
Play On Syracuse,Miami Florida,Syracuse,27,19,10/21/2017,17.5,W,94.3,Visitor,2017-18,Regular
Play On Coastal Carolina,Appalachian St,Coastal Carolina,37,29,10/21/2017,20,W,95.2,Visitor,2017-18,Regular
Play On Western Michigan,Eastern Michigan,Western Michigan,17,20,10/21/2017,-2,W,95.2,Visitor,2017-18,Regular
Play On Louisville,Florida State,Louisville,28,31,10/21/2017,7,W,96.2,Visitor,2017-18,Regular
Play On Auburn,Arkansas,Auburn,20,52,10/21/2017,-17,W,96.2,Visitor,2017-18,Regular
Play On Troy,Georgia State,Troy,10,34,10/21/2017,-7,W,100,Visitor,2017-18,Regular
Play On Central Michigan,Ball State,Central Michigan,9,56,10/21/2017,-3.5,W,100,Visitor,2017-18,Regular
Play On Southern Miss,Louisiana Tech,Southern Miss,27,34,10/21/2017,-1,W,101,Visitor,2017-18,Regular
Play On South Alabama,Georgia State,South Alabama,21,13,10/26/2017,1,L,-100,Visitor,2017-18,Regular
Play On Stanford,Oregon State,Stanford,14,15,10/26/2017,-17.5,L,-100,Visitor,2017-18,Regular
Play On Eastern Michigan,Northern Illinois,Eastern Michigan,30,27,10/26/2017,7.5,W,90.9,Visitor,2017-18,Regular
Play On Toledo,Ball State,Toledo,17,58,10/26/2017,-26.5,W,95.2,Visitor,2017-18,Regular
Play On Tulane,Memphis,Tulane,56,26,10/27/2017,10.5,L,-100,Visitor,2017-18,Regular
Play On Florida State,Boston College,Florida State,35,3,10/27/2017,-6,L,-100,Visitor,2017-18,Regular
Play On Tulsa,SMU,Tulsa,38,34,10/27/2017,12.5,W,94.3,Visitor,2017-18,Regular
Play On Buffalo,Akron,Buffalo,21,20,10/28/2017,-3,L,-100,Visitor,2017-18,Regular
Play On Wisconsin,Illinois,Wisconsin,10,24,10/28/2017,-28.5,L,-100,Visitor,2017-18,Regular
Play On Washington State,Arizona,Washington State,58,37,10/28/2017,0,L,-100,Visitor,2017-18,Regular
Play On UCLA,Washington,UCLA,44,23,10/28/2017,17.5,L,-100,Visitor,2017-18,Regular
Play On New Mexico,Wyoming,New Mexico,42,3,10/28/2017,2.5,L,-100,Visitor,2017-18,Regular
Play On Utah,Oregon,Utah,41,20,10/28/2017,-2,L,-100,Visitor,2017-18,Regular
Play On Virginia,Pittsburgh,Virginia,31,14,10/28/2017,1,L,-100,Visitor,2017-18,Regular
Play On Duke,Virginia Tech,Duke,24,3,10/28/2017,17.5,L,-100,Visitor,2017-18,Regular
Play On Louisville,Wake Forest,Louisville,42,32,10/28/2017,-2.5,L,-100,Visitor,2017-18,Regular
Play On TCU,Iowa State,TCU,14,7,10/28/2017,-7.5,L,-100,Visitor,2017-18,Regular
Play On Texas Tech,Oklahoma,Texas Tech,49,27,10/28/2017,19.5,L,-100,Visitor,2017-18,Regular
Play On Miami Florida,North Carolina,Miami Florida,19,24,10/28/2017,-21,L,-100,Visitor,2017-18,Regular
Play On Indiana,Maryland,Indiana,42,39,10/28/2017,-6.5,L,-100,Visitor,2017-18,Regular
Play On Michigan State,Northwestern,Michigan State,39,31,10/28/2017,-1.5,L,-100,Visitor,2017-18,Regular
Play On Kansas State,Kansas,Kansas State,20,30,10/28/2017,-25,L,-100,Visitor,2017-18,Regular
Play On California,Colorado,California,44,28,10/28/2017,4,L,-100,Visitor,2017-18,Regular
Play On San Jose State,BYU,San Jose State,41,20,10/28/2017,9,L,-100,Visitor,2017-18,Regular
Play On NC State,Notre Dame,NC State,35,14,10/28/2017,7,L,-100,Visitor,2017-18,Regular
Play On Florida,Florida,Georgia,7,42,10/28/2017,12.5,L,-100,Neutral,2017-18,Regular
Play On Appalachian St,Massachusetts,Appalachian St,30,27,10/28/2017,-4,L,-100,Visitor,2017-18,Regular
Play On UL Monroe,Idaho,UL Monroe,31,23,10/28/2017,2,L,-100,Visitor,2017-18,Regular
Play On Vanderbilt,South Carolina,Vanderbilt,34,27,10/28/2017,7,P,0,Visitor,2017-18,Regular
Play On Minnesota,Iowa,Minnesota,17,10,10/28/2017,7,P,0,Visitor,2017-18,Regular
Play On Georgia Tech,Clemson,Georgia Tech,24,10,10/28/2017,14,P,0,Visitor,2017-18,Regular
Play On Oklahoma State,West Virginia,Oklahoma State,39,50,10/28/2017,-8.5,W,87,Visitor,2017-18,Regular
Play On Georgia,Florida,Georgia,7,42,10/28/2017,-12.5,W,87,Neutral,2017-18,Regular
Play On Rutgers,Michigan,Rutgers,35,14,10/28/2017,22,W,88.5,Visitor,2017-18,Regular
Play On Arkansas,Mississippi,Arkansas,37,38,10/28/2017,2.5,W,89.3,Visitor,2017-18,Regular
Play On Louisiana Tech,Rice,Louisiana Tech,28,42,10/28/2017,-11.5,W,89.3,Visitor,2017-18,Regular
Play On Austin Peay,Central Florida,Austin Peay,73,33,10/28/2017,43.5,W,90.9,Visitor,2017-18,Regular
Play On Old Dominion,North Texas,Old Dominion,45,38,10/28/2017,11,W,91.7,Visitor,2017-18,Regular
Play On USC,Arizona State,USC,17,48,10/28/2017,-5,W,92.6,Visitor,2017-18,Regular
Play On Texas,Baylor,Texas,7,38,10/28/2017,-10,W,92.6,Visitor,2017-18,Regular
Play On Mississippi St,Texas A&M,Mississippi St,14,35,10/28/2017,-3.5,W,92.6,Visitor,2017-18,Regular
Play On Houston,South Florida,Houston,24,28,10/28/2017,10,W,94.3,Visitor,2017-18,Regular
Play On Texas State,Coastal Carolina,Texas State,7,27,10/28/2017,9.5,W,94.3,Visitor,2017-18,Regular
Play On San Diego State,Hawaii,San Diego State,7,28,10/28/2017,-8.5,W,94.3,Visitor,2017-18,Regular
Play On UAB,Southern Miss,UAB,12,30,10/28/2017,11,W,94.3,Visitor,2017-18,Regular
Play On UTSA,UTEP,UTSA,14,31,10/28/2017,-16,W,94.3,Visitor,2017-18,Regular
Play On Arkansas State,New Mexico State,Arkansas State,21,37,10/28/2017,-3.5,W,94.3,Visitor,2017-18,Regular
Play On UNLV,Fresno State,UNLV,16,26,10/28/2017,22,W,94.3,Visitor,2017-18,Regular
Play On Boise State,Utah State,Boise State,14,41,10/28/2017,-13,W,94.3,Visitor,2017-18,Regular
Play On Nebraska,Purdue,Nebraska,24,25,10/28/2017,4,W,96.2,Visitor,2017-18,Regular
Play On Missouri,Connecticut,Missouri,12,52,10/28/2017,-13.5,W,96.2,Visitor,2017-18,Regular
Play On Georgia Southern,Troy,Georgia Southern,38,16,10/28/2017,23.5,W,99,Visitor,2017-18,Regular
Play On Florida Atlantic,Western Kentucky,Florida Atlantic,28,42,10/28/2017,-6.5,W,100,Visitor,2017-18,Regular
Play On Tennessee,Kentucky,Tennessee,29,26,10/28/2017,4,W,101,Visitor,2017-18,Regular
Play On Air Force,Colorado State,Air Force,28,45,10/28/2017,9.5,W,101,Visitor,2017-18,Regular
Play On Florida Intl,Marshall,Florida Intl,30,41,10/28/2017,15,W,102,Visitor,2017-18,Regular
Play On Penn State,Ohio State,Penn State,39,38,10/28/2017,7,W,106,Visitor,2017-18,Regular
Play On Miami Ohio,Ohio,Miami Ohio,45,28,10/31/2017,6.5,L,-100,Visitor,2017-18,Regular
Play On Bowling Green,Kent,Bowling Green,16,44,10/31/2017,-1.5,W,93.5,Visitor,2017-18,Regular
Play On Central Michigan,Western Michigan,Central Michigan,28,35,11/1/2017,3.5,W,99,Visitor,2017-18,Regular
Play On Northern Illinois,Toledo,Northern Illinois,27,17,11/2/2017,7,L,-100,Visitor,2017-18,Regular
Play On Ball State,Eastern Michigan,Ball State,56,14,11/2/2017,24,L,-100,Visitor,2017-18,Regular
Play On Navy,Temple,Navy,34,26,11/2/2017,-6.5,L,-100,Visitor,2017-18,Regular
Play On Idaho,Troy,Idaho,24,21,11/2/2017,17.5,W,94.3,Visitor,2017-18,Regular
Play On UCLA,Utah,UCLA,48,17,11/3/2017,9.5,L,-100,Visitor,2017-18,Regular
Play On Memphis,Tulsa,Memphis,14,41,11/3/2017,-14,W,88.5,Visitor,2017-18,Regular
Play On Marshall,Florida Atlantic,Marshall,30,25,11/3/2017,6.5,W,94.3,Visitor,2017-18,Regular
Play On Oregon State,California,Oregon State,37,23,11/4/2017,7,L,-100,Visitor,2017-18,Regular
Play On Texas,TCU,Texas,24,7,11/4/2017,7.5,L,-100,Visitor,2017-18,Regular
Play On Western Kentucky,Vanderbilt,Western Kentucky,31,17,11/4/2017,12.5,L,-100,Visitor,2017-18,Regular
Play On Penn State,Michigan State,Penn State,27,24,11/4/2017,-9.5,L,-100,Visitor,2017-18,Regular
Play On Central Florida,SMU,Central Florida,24,31,11/4/2017,-14,L,-100,Visitor,2017-18,Regular
Play On Southern Miss,Tennessee,Southern Miss,24,10,11/4/2017,7,L,-100,Visitor,2017-18,Regular
Play On Arizona,USC,Arizona,49,35,11/4/2017,7,L,-100,Visitor,2017-18,Regular
Play On East Carolina,Houston,East Carolina,52,27,11/4/2017,23,L,-100,Visitor,2017-18,Regular
Play On South Florida,Connecticut,South Florida,20,37,11/4/2017,-23.5,L,-100,Visitor,2017-18,Regular
Play On Ohio State,Iowa,Ohio State,55,24,11/4/2017,-21,L,-100,Visitor,2017-18,Regular
Play On Georgia Tech,Virginia,Georgia Tech,40,36,11/4/2017,-7.5,L,-100,Visitor,2017-18,Regular
Play On Oregon,Washington,Oregon,38,3,11/4/2017,17.5,L,-100,Visitor,2017-18,Regular
Play On Florida,Missouri,Florida,45,16,11/4/2017,1.5,L,-100,Visitor,2017-18,Regular
Play On Illinois,Purdue,Illinois,29,10,11/4/2017,14,L,-100,Visitor,2017-18,Regular
Play On Maryland,Rutgers,Maryland,31,24,11/4/2017,-5,L,-100,Visitor,2017-18,Regular
Play On Colorado,Arizona State,Colorado,41,30,11/4/2017,6.5,L,-100,Visitor,2017-18,Regular
Play On Iowa State,West Virginia,Iowa State,20,16,11/4/2017,3.5,L,-100,Visitor,2017-18,Regular
Play On Nevada,Boise State,Nevada,41,14,11/4/2017,20,L,-100,Visitor,2017-18,Regular
Play On Rice,UAB,Rice,52,21,11/4/2017,8.5,L,-100,Visitor,2017-18,Regular
Play On Clemson,NC State,Clemson,31,38,11/4/2017,-9.5,L,-100,Visitor,2017-18,Regular
Play On Stanford,Washington State,Stanford,24,21,11/4/2017,-2,L,-100,Visitor,2017-18,Regular
Play On Virginia Tech,Miami Florida,Virginia Tech,28,10,11/4/2017,2,L,-100,Visitor,2017-18,Regular
Play On Minnesota,Michigan,Minnesota,33,10,11/4/2017,16.5,L,-100,Visitor,2017-18,Regular
Play On Georgia State,Georgia Southern,Georgia State,17,21,11/4/2017,-5,L,-100,Visitor,2017-18,Regular
Play On Appalachian St,UL Monroe,Appalachian St,52,45,11/4/2017,-8,L,-100,Visitor,2017-18,Regular
Play On Hawaii,UNLV,Hawaii,31,23,11/4/2017,7,L,-100,Visitor,2017-18,Regular
Play On Colorado State,Wyoming,Colorado State,16,13,11/4/2017,-4,L,-100,Visitor,2017-18,Regular
Play On UTSA,Florida Intl,UTSA,14,7,11/4/2017,-6.5,L,-100,Visitor,2017-18,Regular
Play On UTEP,Middle Tenn St,UTEP,30,3,11/4/2017,20,L,-100,Visitor,2017-18,Regular
Play On North Texas,Louisiana Tech,North Texas,23,24,11/4/2017,2,W,84.7,Visitor,2017-18,Regular
Play On Army,Air Force,Army,0,21,11/4/2017,6.5,W,87,Visitor,2017-18,Regular
Play On Mississippi,Kentucky,Mississippi,34,37,11/4/2017,3.5,W,89.3,Visitor,2017-18,Regular
Play On Northwestern,Nebraska,Northwestern,24,31,11/4/2017,1,W,90.1,Visitor,2017-18,Regular
Play On Cincinnati,Tulane,Cincinnati,16,17,11/4/2017,5.5,W,90.1,Visitor,2017-18,Regular
Play On San Diego State,San Jose State,San Diego State,7,52,11/4/2017,-23.5,W,90.9,Visitor,2017-18,Regular
Play On Massachusetts,Mississippi St,Massachusetts,34,23,11/4/2017,34.5,W,92.6,Visitor,2017-18,Regular
Play On LSU,Alabama,LSU,24,10,11/4/2017,20.5,W,92.6,Visitor,2017-18,Regular
Play On Coastal Carolina,Arkansas,Coastal Carolina,39,38,11/4/2017,24.5,W,92.6,Visitor,2017-18,Regular
Play On Wisconsin,Indiana,Wisconsin,17,45,11/4/2017,-11,W,94.3,Visitor,2017-18,Regular
Play On New Mexico State,Texas State,New Mexico State,35,45,11/4/2017,-9,W,94.3,Visitor,2017-18,Regular
Play On Baylor,Kansas,Baylor,9,38,11/4/2017,-7,W,95.2,Visitor,2017-18,Regular
Play On Auburn,Texas A&M,Auburn,27,42,11/4/2017,-14.5,W,95.2,Visitor,2017-18,Regular
Play On South Carolina,Georgia,South Carolina,24,10,11/4/2017,23.5,W,96.2,Visitor,2017-18,Regular
Play On Charlotte U,Old Dominion,Charlotte U,6,0,11/4/2017,10,W,96.2,Visitor,2017-18,Regular
Play On Kansas State,Texas Tech,Kansas State,35,42,11/4/2017,3.5,W,98,Visitor,2017-18,Regular
Play On Oklahoma,Oklahoma State,Oklahoma,52,62,11/4/2017,1.5,W,98,Visitor,2017-18,Regular
Play On BYU,Fresno State,BYU,20,13,11/4/2017,10,W,98,Visitor,2017-18,Regular
Play On UL Lafayette,South Alabama,UL Lafayette,14,19,11/4/2017,6.5,W,98,Visitor,2017-18,Regular
Play On Wake Forest,Notre Dame,Wake Forest,48,37,11/4/2017,15.5,W,100,Visitor,2017-18,Regular
Play On Utah State,New Mexico,Utah State,10,24,11/4/2017,3,W,104,Visitor,2017-18,Regular
Play On Syracuse,Florida State,Syracuse,27,24,11/4/2017,7.5,W,108,Visitor,2017-18,Regular
Play On Bowling Green,Buffalo,Bowling Green,38,28,11/7/2017,7,L,-100,Visitor,2017-18,Regular
Play On Akron,Miami Ohio,Akron,24,14,11/7/2017,11,W,102,Visitor,2017-18,Regular
Play On Eastern Michigan,Central Michigan,Eastern Michigan,42,30,11/8/2017,-1.5,L,-100,Visitor,2017-18,Regular
Play On Toledo,Ohio,Toledo,38,10,11/8/2017,-3,L,-100,Visitor,2017-18,Regular
Play On Kent,Western Michigan,Kent,48,20,11/8/2017,20.5,L,-100,Visitor,2017-18,Regular
Play On Ball State,Northern Illinois,Ball State,63,17,11/9/2017,28.5,L,-100,Visitor,2017-18,Regular
Play On Georgia Southern,Appalachian St,Georgia Southern,27,6,11/9/2017,17.5,L,-100,Visitor,2017-18,Regular
Play On North Carolina,Pittsburgh,North Carolina,31,34,11/9/2017,10,W,87.7,Visitor,2017-18,Regular
Play On Washington,Stanford,Washington,30,22,11/10/2017,-7,L,-100,Visitor,2017-18,Regular
Play On BYU,UNLV,BYU,21,31,11/10/2017,0,W,96.2,Visitor,2017-18,Regular
Play On Temple,Cincinnati,Temple,24,35,11/10/2017,-3,W,98,Visitor,2017-18,Regular
Play On Duke,Army,Duke,21,16,11/11/2017,-3.5,L,-100,Visitor,2017-18,Regular
Play On Tennessee,Missouri,Tennessee,50,17,11/11/2017,12,L,-100,Visitor,2017-18,Regular
Play On San Jose State,Nevada,San Jose State,59,14,11/11/2017,17.5,L,-100,Visitor,2017-18,Regular
