"","Date","Away","Home","Actual","OREB_1","OREB_2","OREB_4","OREB_5a","OREB_5b","OREB_5c","OREB_6","OREB_7","OREB_8","OREB_9","OREB_11","OREB_12","OREB_13","OREB_14","OREB_15","OREB_16","OREB_17"
"44","4/9/2023","Charlotte Hornets","Cleveland Cavaliers",21,20.36648239,19.0864,21.23444381,21.14018293,22,20.84,20.61,20.87736347,20.71653,18.04552617,21.06,22.6801354,22.3636608,21.04351,20.81000997,20.72925333,21
"45","4/9/2023","Orlando Magic","Miami Heat",20,20.91656254,19.17256667,21.11347128,19.92120056,22,18.89,17.21,17.78580965,20.93788,19.65948927,19.96,18.40466893,16.7730426,18.48119,18.34023137,17.77614327,20
"46","4/9/2023","Indiana Pacers","New York Knicks",27,20.128998,21.4866,22.25799664,22.34991197,23,22,27.41,23.79759526,19.31058,16.80289882,22.25,20.22243493,17.9054726,23.32569,19.21449752,19.39999332,22
"47","4/9/2023","Milwaukee Bucks","Toronto Raptors",14,20.74243982,22.7331,22.05535514,21.55729463,23,22.31,26.64,23.76774262,18.26455,13.88379004,23.99,19.91135539,26.8552417,23.17799,18.73764458,23.23606549,21
"48","4/9/2023","Houston Rockets","Washington Wizards",26,21.52434254,19.82453333,20.53600033,23.82566121,24,21.42,20.23,22.86637012,19.62233,15.68422926,21.83,22.56866183,28.2407801,21.49879,20.52454966,19.16539489,23
"49","4/9/2023","San Antonio Spurs","Dallas Mavericks",21,20.30886131,18.44403333,25.77433687,19.89121285,20,20.18,16.95,19.30820289,20.10502,19.10770625,19.86,21.24430778,19.5640944,19.99582,19.05708298,17.08850812,19
"50","4/9/2023","Sacramento Kings","Denver Nuggets",25,19.3192045,19.54916667,17.40280233,20.71572675,19,20.58,16.63,17.63245721,21.71992,23.53816588,19.37,19.22174299,20.1872389,19.44086,18.35123282,19.64956559,22
"51","4/9/2023","Utah Jazz","Los Angeles Lakers",17,20.85257764,20.75983333,20.29399848,21.09713492,23,21.93,24.17,23.30177653,19.23981,22.7109342,21.99,21.32478502,20.6102576,21.94044,20.36282774,19.96369196,22
"52","4/9/2023","New Orleans Pelicans","Minnesota Timberwolves",19,21.6476956,20.02996667,20.32682676,21.57643627,21,21.08,24.85,20.18299422,21.52617,22.7109342,19.77,17.02651043,18.3390969,20.42393,20.13734887,19.06087632,22
"53","4/9/2023","Memphis Grizzlies","Oklahoma City Thunder",19,22.52524352,21.22026667,24.76342556,22.80905779,24,22.28,24.9,26.01047291,19.66946,22.01845365,23.18,24.69243975,23.2387274,24.43029,22.34954731,18.80921542,25
"54","4/9/2023","Los Angeles Clippers","Phoenix Suns",26,21.4900858,20.83133333,20.10149741,21.30179094,22,21.55,20.39,21.82243039,17.05005,24.54458009,NA,22.1002033,22.1568677,20.47258,19.89004846,18.66783468,21
"55","4/9/2023","Golden State Warriors","Portland Trail Blazers",15,18.65378431,18.69836667,20.78936928,20.61536367,20,21.11,18.57,19.97982926,21.03497,20.72632058,19.44,22.49292348,21.487624,20.27462,20.15259944,19.32216682,21
